Date,WordCount,Project,Genre,Event,Goal
2013-07-25,1348,Essence,Horror & Supernatural,Camp NaNoWriMo July 2013,"25,000 WORDS"
2012-10-08,0,Outbreak,Horror & Supernatural,NaNoWriMo 2012,"50,000 WORDS"
2012-11-01,2321,Outbreak,Horror & Supernatural,NaNoWriMo 2012,"50,000 WORDS"
2012-11-02,717,Outbreak,Horror & Supernatural,NaNoWriMo 2012,"50,000 WORDS"
2012-11-03,909,Outbreak,Horror & Supernatural,NaNoWriMo 2012,"50,000 WORDS"
2012-11-05,1134,Outbreak,Horror & Supernatural,NaNoWriMo 2012,"50,000 WORDS"
2011-11-01,4172,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-02,2708,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-03,2155,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-04,686,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-05,1991,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-06,2471,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-07,264,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-08,557,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-09,1289,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-10,526,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-11,318,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-12,2865,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-13,812,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-14,1328,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-15,298,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-18,0,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-20,131,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2011-11-21,367,The Redemption of the Renegades,Adventure,NaNoWriMo 2011,"50,000 WORDS"
2010-11-29,4050,Perfection,Mainstream Fiction,NaNoWriMo 2010,"50,000 WORDS"
2009-11-29,50008,"New Friends, New Graveyards",Young Adult & Youth,NaNoWriMo 2009,"50,000 WORDS"
2008-11-29,52048,Alexander Street,Young Adult & Youth,NaNoWriMo 2008,"50,000 WORDS"
